B_InhFrom count total freq chrom
Notphased 15792 147634 0.10696722977092 chr15
fam1-2_HG00404 27218 147634 0.18436132598182 chr15
fam1-3_HG00403 26853 147634 0.181888995759784 chr15
AOH_signal 86179 155453 0.554373347571292 chr16
ME 1521 155453 0.00978430779721202 chr16
Notphased 15662 155453 0.100750709217577 chr16
fam1-2_HG00404 27164 155453 0.174740918476967 chr16
fam1-3_HG00403 24927 155453 0.160350716936952 chr16
AOH_signal 73407 139811 0.525044524393646 chr17
ME 1432 139811 0.0102423986667716 chr17
Notphased 18105 139811 0.129496248506913 chr17
fam1-2_HG00404 24211 139811 0.173169493101401 chr17
fam1-3_HG00403 22656 139811 0.162047335331269 chr17
AOH_signal 81661 142469 0.573184341856825 chr18
ME 741 142469 0.00520113147421544 chr18
Notphased 13089 142469 0.091872617902842 chr18
fam1-2_HG00404 23554 142469 0.16532719398606 chr18
fam1-3_HG00403 23424 142469 0.164414714780057 chr18
AOH_signal 56969 112365 0.50699951052374 chr19
ME 926 112365 0.00824100031148489 chr19
Notphased 12604 112365 0.112170159747252 chr19
fam1-2_HG00404 20749 112365 0.18465714412851 chr19
fam1-3_HG00403 21117 112365 0.187932185289013 chr19
AOH_signal 65795 136881 0.480672993329973 chr20
ME 2549 136881 0.0186220147427327 chr20
Notphased 27457 136881 0.200590293758812 chr20
fam1-2_HG00404 20681 136881 0.151087440915832 chr20
fam1-3_HG00403 20399 136881 0.14902725725265 chr20
AOH_signal 42254 89200 0.473699551569507 chr21
ME 1379 89200 0.0154596412556054 chr21
Notphased 18678 89200 0.209394618834081 chr21
fam1-2_HG00404 12049 89200 0.135078475336323 chr21
fam1-3_HG00403 14840 89200 0.166367713004484 chr21
AOH_signal 38721 90611 0.427332222357109 chr22
ME 1683 90611 0.0185739038306607 chr22
Notphased 19754 90611 0.218008851022503 chr22
fam1-2_HG00404 14343 90611 0.158292039597841 chr22
fam1-3_HG00403 16110 90611 0.177792983191886 chr22
